0,5078 
1,4845 
2,5825 
3,7419 
4,7828 
5,5867 
6,6279 
7,10068 
8,10079 
9,7662 
10,5406 
11,7067 
12,5490 
13,4080 
14,2967 
15,1985 
16,1051 
17,1004 
